SaleID,ProductID,QuantitySold,SaleDate,SalespersonID
1,41,8,9/26/2023,47
2,31,1,6/22/2025,36
3,21,5,5/15/2024,89
4,16,9,9/24/2024,82
5,23,1,7/25/2023,10
6,14,7,12/21/2023,1
7,23,7,12/6/2024,68
8,41,5,5/1/2024,90
9,18,4,11/5/2024,75
10,36,9,10/20/2024,15
11,12,5,12/6/2023,96
12,37,1,6/4/2025,79
13,11,9,1/22/2025,92
14,5,5,1/10/2024,87
15,21,9,9/12/2024,3
16,32,8,7/31/2023,32
17,29,7,9/23/2024,20
18,7,6,8/20/2023,56
19,36,9,7/29/2023,78
20,40,4,5/27/2025,99
21,27,5,8/16/2024,42
22,6,1,11/30/2023,73
23,38,7,6/16/2024,60
24,4,6,1/18/2024,56
25,46,7,4/4/2025,47
26,35,1,8/10/2023,24
27,10,7,9/16/2024,41
28,38,7,5/18/2025,4
29,50,8,10/6/2023,76
30,30,2,8/15/2023,51
31,42,1,6/10/2024,88
32,9,1,5/15/2024,1
33,16,8,8/9/2023,14
34,4,7,1/6/2025,95
35,26,9,11/25/2023,10
36,29,2,12/23/2023,97
37,28,4,4/8/2024,36
38,11,8,8/28/2023,42
39,28,6,6/15/2024,99
40,44,2,4/29/2024,48
41,32,2,11/3/2023,18
42,24,7,5/12/2025,89
43,42,9,2/26/2025,76
44,39,8,6/13/2025,60
45,7,2,4/22/2025,28
46,18,3,5/7/2024,53
47,3,8,5/8/2024,9
48,44,4,1/13/2024,24
49,46,6,7/21/2024,20
50,20,2,9/3/2023,90
51,34,1,9/14/2023,69
52,30,6,11/28/2024,27
53,9,8,7/28/2023,92
54,10,5,7/22/2023,40
55,6,1,5/1/2025,71
56,17,2,2/16/2024,83
57,15,3,5/5/2024,54
58,33,2,4/4/2025,86
59,13,9,6/22/2025,82
60,42,2,12/2/2024,15
61,44,3,6/22/2024,97
62,22,9,10/4/2024,51
63,16,3,8/25/2023,69
64,34,8,5/22/2024,40
65,3,8,10/28/2024,69
66,8,3,9/5/2024,43
67,20,3,5/5/2024,64
68,47,8,4/3/2025,7
69,24,3,6/27/2024,2
70,18,4,8/16/2023,30
71,23,5,1/16/2024,75
72,1,7,2/6/2025,52
73,2,1,1/8/2024,33
74,5,8,11/14/2023,9
75,18,3,3/1/2024,11
76,16,7,12/2/2023,76
77,10,3,10/13/2024,10
78,29,9,9/26/2024,54
79,35,5,11/8/2024,75
80,25,3,1/26/2025,97
81,42,3,1/31/2024,20
82,24,4,4/29/2024,5
83,13,5,8/24/2024,24
84,21,5,12/16/2023,32
85,42,8,3/8/2025,31
86,43,6,11/2/2024,44
87,39,5,5/8/2025,78
88,34,2,11/22/2023,19
89,19,5,7/10/2025,24
90,28,7,7/26/2023,96
91,27,3,5/13/2024,12
92,50,7,9/20/2023,50
93,26,1,1/6/2025,85
94,11,6,3/28/2024,100
95,49,1,1/22/2024,25
96,35,7,9/27/2024,51
97,20,6,4/11/2025,14
98,12,1,10/25/2023,72
99,28,9,5/10/2024,29
100,2,5,3/31/2025,25
101,1,7,12/12/2023,87
102,9,1,5/7/2024,59
103,22,8,9/18/2024,100
104,40,8,11/20/2024,57
105,27,9,10/1/2023,12
106,9,2,4/25/2024,50
107,7,6,2/7/2024,12
108,36,5,7/19/2023,82
109,48,6,12/9/2023,100
110,38,5,10/13/2024,48
111,50,1,12/16/2024,50
112,2,2,5/25/2024,19
113,43,3,10/23/2024,53
114,5,7,9/10/2023,35
